logM_center,counts,phi,phi_poisson,phi_std_ivol,phi_sem_ivol
7.1,3829,0.1230192157284034,0.001988063586464589,5.153069908256841e-16,9.91708766228349e-17
7.300000000000001,2845,0.09140498008548124,0.0017136760335982634,3.7852579890880266e-16,7.284732396507179e-17
7.5,2054,0.0659915040757745,0.0014560886186381775,2.7390213353814143e-16,5.271249017661959e-17
7.700000000000001,1632,0.05243336643216358,0.0012979192235700598,2.1881437231337464e-16,4.211084558589528e-17
7.9,1130,0.03630496572815264,0.0010800075944187007,1.5010505818797347e-16,2.888773191718364e-17
8.100000000000001,794,0.02550986087447163,0.0009053110865995308,1.0604648413720779e-16,2.040865538774343e-17
8.3,531,0.01706012106340609,0.0007403461941486179,7.010581337962613e-17,1.3491870075494937e-17
8.500000000000002,413,0.013268983049315964,0.0006529239712701343,5.543082044663868e-17,1.0667666368756218e-17
8.700000000000001,243,0.007807174045965567,0.0005008304485609423,3.2200846644088457e-17,6.1970558260327756e-18
8.900000000000002,123,0.003951779455365252,0.00035631995378054517,1.6304235675056943e-17,3.137751618641742e-18
9.100000000000001,59,0.001895569007045121,0.00024678206471620594,7.948477855827455e-18,1.52968527656992e-18
9.300000000000002,24,0.0007710789181200561,0.00015739582506761894,3.2631534388689884e-18,6.279941721126878e-19
9.500000000000002,14,0.00044979603557003273,0.00012021304707373195,1.887139573476132e-18,3.631801802482801e-19
9.700000000000003,1,3.212828825500205e-05,3.212828825500205e-05,1.3374127614167062e-19,2.5738520594052534e-20
9.900000000000002,0,0.0,0.0,0.0,0.0
10.100000000000003,0,0.0,0.0,0.0,0.0
10.300000000000002,0,0.0,0.0,0.0,0.0
10.500000000000004,0,0.0,0.0,0.0,0.0
10.700000000000003,0,0.0,0.0,0.0,0.0
10.900000000000004,0,0.0,0.0,0.0,0.0
11.100000000000003,0,0.0,0.0,0.0,0.0
11.300000000000004,0,0.0,0.0,0.0,0.0
11.500000000000004,0,0.0,0.0,0.0,0.0
11.700000000000005,0,0.0,0.0,0.0,0.0
11.900000000000004,0,0.0,0.0,0.0,0.0
12.100000000000005,0,0.0,0.0,0.0,0.0
12.300000000000004,0,0.0,0.0,0.0,0.0
