r,xi,xi_jk_err,DD,RR
0.1166760716081662,88.18737613100248,1.161430127245012,79328,889.4532325233946
0.15559004211011235,56.211507700485434,0.5227313377960776,120672,2109.226008021741
0.2074826557850289,35.076078891154495,0.2895237425119035,180444,5001.76309472045
0.27668256829150173,22.24600368239429,0.15826837929732207,275722,11861.049484768955
0.3689621347227101,14.486767030468636,0.1376106610274439,435596,28126.9808697328
0.49201891430946565,9.545343312539444,0.03635494514081028,703370,66699.58285413281
0.6561177672614025,6.384211170084143,0.05217479450994578,1167958,158169.63695889147
0.8749471046662279,4.223439164357568,0.08142756127789097,1959204,375079.3181183652
1.166760716081662,2.713310468983124,0.10388448634922409,3302816,889453.232523394
1.5559004211011234,1.6521908883755532,0.12291204393703525,5594070,2109226.00802174
2.074826557850289,0.8798399328278277,0.12250366408472191,9402514,5001763.094720451
2.766825682915017,0.30415407336961486,0.1282559042710112,15468636,11861049.484768951
3.6896213472271007,-0.12244324713282051,0.14666135789423845,24683022,28126980.86973281
4.920189143094657,-0.44703645177722817,0.1519915567950676,36882438,66699582.85413276
6.561177672614024,-0.6890196440623813,0.1363838138729015,49187650,158169636.95889148
8.74947104666228,-0.8434539651651217,0.10441233806125394,58717180,375079318.1183652
11.667607160816619,-0.9357474053606333,0.05575683153210892,57149678,889453232.5233941
15.559004211011235,-0.9812174030429499,0.01663001029708877,39616742,2109226008.0217404
20.748265578502888,-0.9966992167187153,0.0016090720353034715,16509736,5001763094.720452
27.668256829150174,-0.9980480280408803,0.00018524509924400245,23152436,11861049484.768957
36.896213472271015,-0.9980618216276933,0.00021664756721612166,54515106,28126980869.732807
49.20189143094657,-0.9981007142686777,0.00028837235586359755,126681566,66699582854.13279
65.61177672614025,-0.9984377855146483,0.0001325178632680668,247094898,158169636958.89145
87.49471046662279,-0.9985728465470041,4.084537731691151e-05,535295744,375079318118.36523
